group_a,group_b,n_group_a,n_group_b,overlap_n,overlap_fraction_of_smaller_group,delta_macro_f1_group_a,delta_macro_f1_group_b,delta_difference_group_a_minus_group_b,delta_difference_bootstrap_mean,delta_difference_ci_lower,delta_difference_ci_upper,p_value_two_sided_bootstrap,bootstrap_valid_n,p_value_fdr_bh,significant_fdr_0_05,ci_excludes_zero
Islam,Refugee,233,76,10,0.13157894736842105,0.04151348386263409,0.04660739261926872,-0.005093908756634624,-0.005818294993053361,-0.09790335872544878,0.07422451129185878,0.912,1000,0.988,False,False
Islam,Arab,233,84,28,0.3333333333333333,0.04151348386263409,-0.07507341127813572,0.11658689514076981,0.11675781813234776,-0.01573272384104945,0.2908461488455551,0.114,1000,0.735,False,False
Islam,Caucasian,233,53,1,0.018867924528301886,0.04151348386263409,0.04353816510679248,-0.0020246812441583883,-0.0017554261730054492,-0.12774345229747272,0.10292328148454066,0.978,1000,0.988,False,False
Islam,Hispanic,233,38,2,0.05263157894736842,0.04151348386263409,0.0,0.04151348386263409,0.04249165708379892,-0.004220696019433316,0.08932845085209117,0.08492569002123142,942,0.735,False,False
Islam,Asian,233,42,0,0.0,0.04151348386263409,0.02726717726717731,0.014246306595456781,0.01625676478653991,-0.060470661370470705,0.07921537587517671,0.6253807106598985,985,0.988,False,False
Jewish,Gay,201,192,15,0.078125,0.03802056245157959,0.020303368485532935,0.01771719396604665,0.017145882529515717,-0.0665502629925852,0.1165227595881721,0.752,1000,0.988,False,False
Jewish,Women,201,163,4,0.024539877300613498,0.03802056245157959,0.0348282662593461,0.0031922961922334903,0.002507850384091599,-0.07789311902414245,0.08862001438980112,0.988,1000,0.988,False,False
Jewish,Refugee,201,76,1,0.013157894736842105,0.03802056245157959,0.04660739261926872,-0.00858683016768913,-0.010266556759454698,-0.11564268726875124,0.0968236195836192,0.846,1000,0.988,False,False
Jewish,Arab,201,84,14,0.16666666666666666,0.03802056245157959,-0.07507341127813572,0.1130939737297153,0.1123095563659464,-0.035811038008944,0.2938704845607501,0.148,1000,0.735,False,False
Jewish,Caucasian,201,53,1,0.018867924528301886,0.03802056245157959,0.04353816510679248,-0.005517602655212894,-0.006203687939406786,-0.13623151219112742,0.12005433954020067,0.91,1000,0.988,False,False
Jewish,Hispanic,201,38,6,0.15789473684210525,0.03802056245157959,0.0,0.03802056245157959,0.037859828688801715,-0.029460762364835552,0.12395762497261593,0.3354564755838641,942,0.9385714285714286,False,False
Jewish,Asian,201,42,5,0.11904761904761904,0.03802056245157959,0.02726717726717731,0.010753385184402275,0.011890040078764662,-0.07597507024071903,0.11153989934067421,0.7979695431472081,985,0.988,False,False
Gay,Women,192,163,15,0.09202453987730061,0.020303368485532935,0.0348282662593461,-0.014524897773813161,-0.014638032145424118,-0.07362864504225687,0.03944994654607586,0.622,1000,0.988,False,False
Gay,Refugee,192,76,0,0.0,0.020303368485532935,0.04660739261926872,-0.02630402413373578,-0.027412439288970417,-0.11743000017219714,0.05238029446406513,0.53,1000,0.9540000000000001,False,False
Gay,Arab,192,84,2,0.023809523809523808,0.020303368485532935,-0.07507341127813572,0.09537677976366865,0.09516367383643069,-0.03630552486133246,0.27077877447643317,0.176,1000,0.735,False,False
Gay,Caucasian,192,53,1,0.018867924528301886,0.020303368485532935,0.04353816510679248,-0.023234796621259546,-0.0233495704689225,-0.1512690946364109,0.08866471496020611,0.736,1000,0.988,False,False
Gay,Hispanic,192,38,2,0.05263157894736842,0.020303368485532935,0.0,0.020303368485532935,0.020870409571272324,-0.02639163929753169,0.06444070884599361,0.3630573248407643,942,0.9385714285714286,False,False
Gay,Asian,192,42,1,0.023809523809523808,0.020303368485532935,0.02726717726717731,-0.006963808781644376,-0.0052715201699796025,-0.07977065639075263,0.05757312582323053,0.9360406091370559,985,0.988,False,False
Women,Refugee,163,76,1,0.013157894736842105,0.0348282662593461,0.04660739261926872,-0.01177912635992262,-0.012774407143546298,-0.101012577123575,0.06696877585566674,0.796,1000,0.988,False,False
Women,Arab,163,84,4,0.047619047619047616,0.0348282662593461,-0.07507341127813572,0.10990167753748181,0.1098017059818548,-0.02376022522580488,0.2829907266893496,0.108,1000,0.735,False,False
Women,Caucasian,163,53,9,0.16981132075471697,0.0348282662593461,0.04353816510679248,-0.008709898847446385,-0.008711538323498384,-0.12779600140304498,0.09788498346922121,0.904,1000,0.988,False,False
Women,Hispanic,163,38,1,0.02631578947368421,0.0348282662593461,0.0,0.0348282662593461,0.03548924069948298,-0.0006651493359984127,0.07739577900038895,0.055201698513800426,942,0.735,False,False
Women,Asian,163,42,3,0.07142857142857142,0.0348282662593461,0.02726717726717731,0.007561088992168785,0.009399287636913065,-0.06383152027067537,0.06604997087355541,0.7269035532994924,985,0.988,False,False
Refugee,Arab,76,84,1,0.013157894736842105,0.04660739261926872,-0.07507341127813572,0.12168080389740443,0.1225761131254011,-0.021637414169964488,0.2933129212543333,0.104,1000,0.735,False,False
Refugee,Caucasian,76,53,0,0.0,0.04660739261926872,0.04353816510679248,0.003069227512476236,0.004062868820047912,-0.13209887859871777,0.13864002942402046,0.944,1000,0.988,False,False
Refugee,Hispanic,76,38,4,0.10526315789473684,0.04660739261926872,0.0,0.04660739261926872,0.048059137400402324,-0.019311415022461653,0.13134464618787775,0.1740976645435244,942,0.735,False,False
Refugee,Asian,76,42,2,0.047619047619047616,0.04660739261926872,0.02726717726717731,0.019340215352091406,0.022033576537612606,-0.06840560173525698,0.11411844779515322,0.6152284263959391,985,0.988,False,False
Arab,Caucasian,84,53,2,0.03773584905660377,-0.07507341127813572,0.04353816510679248,-0.1186115763849282,-0.11851324430535319,-0.2933897478219195,0.035894803105998435,0.162,1000,0.735,False,False
Arab,Hispanic,84,38,8,0.21052631578947367,-0.07507341127813572,0.0,-0.07507341127813572,-0.07398920247688237,-0.24595424115442419,0.04761472370988365,0.29936305732484075,942,0.9385714285714286,False,False
Arab,Asian,84,42,4,0.09523809523809523,-0.07507341127813572,0.02726717726717731,-0.10234058854531303,-0.10028885092743665,-0.2781782785557926,0.0377997676652385,0.15228426395939088,985,0.735,False,False
Caucasian,Hispanic,53,38,0,0.0,0.04353816510679248,0.0,0.04353816510679248,0.044226927843318234,-0.0537579795913129,0.1573306367481116,0.4309978768577495,942,0.9385714285714286,False,False
Caucasian,Asian,53,42,2,0.047619047619047616,0.04353816510679248,0.02726717726717731,0.01627098783961517,0.018329458085954826,-0.09613397451355404,0.14229339413227413,0.7634517766497462,985,0.988,False,False
Hispanic,Asian,38,42,6,0.15789473684210525,0.0,0.02726717726717731,-0.02726717726717731,-0.02643628054579566,-0.09042385693636919,0.005780432730897102,0.5086206896551724,928,0.9536637931034483,False,False
